Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
08-Mar-23,,orange,,,MY IMAGINARY COUNTRY,https://likeaword.github.io/borderlines2023/img/FILM2023-46.jpg,"08 Mar, Starts:14:30. Ends: 15:53 approx. Theme: South America",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,yellow,,,THE BLUE CAFTAN,https://likeaword.github.io/borderlines2023/img/FILM2023-11.jpg,"08 Mar, Starts:16:30. Ends: 18:28 approx. Theme: LGBTQ+",Malvern Theatres,52.1103897,-2.3291562
08-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"08 Mar, Starts:17:00. Ends: 18:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
08-Mar-23,,purple,,,DESTINY + RACHEL LAMBERT & ELLE WHILE,https://likeaword.github.io/borderlines2023/img/FILM2023-26.jpg,"08 Mar, Starts:17:00. Ends: 18:30 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,purple,,,"MY SAILOR, MY LOVE",https://likeaword.github.io/borderlines2023/img/FILM2023-47.jpg,"08 Mar, Starts:17:30. Ends: 19:13 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,purple,,,THE LOST KING,https://likeaword.github.io/borderlines2023/img/FILM2023-41.jpg,"08 Mar, Starts:19:30. Ends: 21:18 approx. Theme: other","Eye, Cawley Hall*",52.2710853,-2.7467118
08-Mar-23,,brown,,,GODLAND,https://likeaword.github.io/borderlines2023/img/FILM2023-33.jpg,"08 Mar, Starts:19:45. Ends: 22:08 approx. Theme: Land",Malvern Theatres,52.1103897,-2.3291562
08-Mar-23,,purple,,,WOMEN TALKING,https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"08 Mar, Starts:20:00. Ends: 21:44 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,purple,,,THE SILENT TWINS,https://likeaword.github.io/borderlines2023/img/FILM2023-57.jpg,"08 Mar, Starts:20:00. Ends: 21:53 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
09-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"09 Mar, Starts:11:00. Ends: 12:53 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,purple,,,LEONOR WILL NEVER DIE,https://likeaword.github.io/borderlines2023/img/FILM2023-39.jpg,"09 Mar, Starts:11:45. Ends: 13:26 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,yellow,,,THE BLUE CAFTAN,https://likeaword.github.io/borderlines2023/img/FILM2023-11.jpg,"09 Mar, Starts:13:30. Ends: 15:28 approx. Theme: LGBTQ+",Malvern Theatres,52.1103897,-2.3291562
09-Mar-23,,green,,,THE WHALE (relaxed screening),https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"09 Mar, Starts:14:00. Ends: 15:57 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT? (captioned),https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"09 Mar, Starts:14:00. Ends: 15:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
09-Mar-23,,yellow,,,BLUE JEAN,https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"09 Mar, Starts:14:30. Ends: 16:07 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,purple,,,LUNANA: A YAK IN THE CLASSROOM,https://likeaword.github.io/borderlines2023/img/FILM2023-42.jpg,"09 Mar, Starts:16:30. Ends: 17:59 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
09-Mar-23,,green,,,THE WHALE (captioned),https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"09 Mar, Starts:17:00. Ends: 18:57 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
